id;test_date;user_id;user_name;user_gender;user_birthday;user_age;user_height;order_date
1;2022-02-16T08:03:37;6687;sexy Peso Synergistic;neural bypass;base;45479;84597;2022-02-15T19:30:41
2;2022-02-16T08:29:01;88994;1080p;recontextualize;hacking;1652;18351;2022-02-15T19:23:58
3;2022-02-15T14:37:31;69210;Consultant B2B;multi-byte Gorgeous;hack;86196;48159;2022-02-16T08:21:36
4;2022-02-16T04:31:22;84554;Books synthesizing;parsing;drive;39960;52422;2022-02-16T04:03:41
5;2022-02-15T17:04:38;47864;Decentralized;Chicken niches;Concrete Supervisor olive;70670;53341;2022-02-16T04:24:01
6;2022-02-16T02:17:07;19013;Delaware Alaska;Architect;bandwidth;84448;78565;2022-02-16T02:08:53
7;2022-02-15T15:34:08;30533;defect Computer transmitting;bypassing Buckinghamshire Function-based;program;45190;58349;2022-02-15T23:25:43
8;2022-02-15T21:26:41;54499;Grocery HDD;knowledge white;pixel Saint New;13831;44336;2022-02-16T04:08:52
9;2022-02-16T08:24:26;47770;copying well-modulated;Court unleash;EXE;39720;44250;2022-02-16T00:29:29
10;2022-02-15T23:49:57;97106;Account overriding;Cambridgeshire monetize Computer;Refined bus;88904;77685;2022-02-16T13:41:28
